column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-БИ-11
"а
т
р
а
м
9","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
0
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"пр.з. СИСТЕМЫ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ
доц. Косарев А.В. 245"
,,17.00-18.30,"ЭКЗАМЕН СИСТЕМЫ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ
доц. Косарев А.В. 245"
"а
т
р
а
м
1
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,"пр.з. Деловой иностранный язык
проф. Калиниченко Э.Б. 528"
,,12.00-13.30,"пр.з. Деловой иностранный язык
ЭКЗАМЕН проф. Калиниченко Э.Б. 528"
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
2
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. ОРГАНИЗАЦИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Измайлова Ю.М. УК№3 ауд. 214"
,,13.40-15.10,"пр.з. ОРГАНИЗАЦИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Измайлова Ю.М. УК№3 ауд. 214"
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
3
1","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"ЭКЗАМЕН ТЕХНОЛОГИИ ЭФФЕКТИВНОГО МЕНЕДЖМЕНТА
доц. Котар О.К. ауд. 232"
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
4
1","а
т
о
б
б
у
С",10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
